iter	Passed	Remaining
738	19630	2151
739	19652	2124
740	19673	2097
741	19694	2070
742	19718	2043
743	19739	2016
744	19760	1989
745	19781	1962
746	19808	1935
747	19829	1908
748	19850	1881
749	19872	1854
750	19904	1828
751	19926	1801
752	19948	1774
753	19972	1748
754	19994	1721
755	20041	1696
756	20077	1670
757	20098	1643
758	20120	1617
759	20151	1590
760	20194	1565
761	20217	1538
762	20244	1512
763	20264	1485
764	20297	1459
765	20320	1432
766	20352	1406
767	20373	1379
768	20396	1352
769	20438	1327
770	20482	1301
771	20515	1275
772	20536	1248
773	20558	1221
774	20580	1194
775	20608	1168
776	20632	1141
777	20663	1115
778	20685	1088
779	20706	1061
780	20728	1035
781	20765	1009
782	20792	982
783	20813	955
784	20838	929
785	20859	902
786	20880	875
787	20902	848
788	20924	822
789	20945	795
790	20982	769
791	21003	742
792	21025	715
793	21046	689
794	21068	662
795	21090	635
796	21111	609
797	21151	583
798	21172	556
799	21193	529
800	21228	503
801	21250	476
802	21271	450
803	21293	423
804	21318	397
805	21355	370
806	21376	344
807	21398	317
808	21421	291
809	21445	264
810	21508	238
811	21529	212
812	21551	185
813	21582	159
814	21617	132
815	21639	106
816	21661	79
817	21682	53
818	21704	26
819	21762	0
